c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment
1,Customer#000000001,IVhzIApeRb,15,25-989-741-2988,711.56,BUILDING
2,Customer#000000002,XSTf4 mC2rl,13,23-768-687-3665,121.65,AUTOMOBILE
3,Customer#000000003,MG9kdTD2WBHm,1,11-719-748-3364,7498.12,AUTOMOBILE
4,Customer#000000004,XxVSJsLAGtn,4,14-128-190-5944,2866.83,MACHINERY
5,Customer#000000005,KvpyuHCplrB84WgAi,3,13-750-942-6364,794.47,HOUSEHOLD
6,Customer#000000006,sKZz0CsnMD7mp4Xd0YrBvx,20,30-114-968-4951,7638.57,AUTOMOBILE
7,Customer#000000007,TcGe5gaZNgVePxU,18,28-190-982-9759,9561.95,AUTOMOBILE
8,Customer#000000008,I0B10bB0AymmC,17,27-147-574-9335,6819.74,BUILDING
9,Customer#000000009,xKiAFTjUsCuxfeleNqefangr,8,18-338-906-3675,8324.07,FURNITURE
10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL,5,15-741-346-9870,2753.54,HOUSEHOLD
